date,idea_name,category,target_user,trigger_scenario,primary_keyword,long_tail_keywords,risk_level,risk_reason,mvp_scope,data_source,query,region,language,date_checked,benchmark_sites,benchmark_urls,serp_weaknesses,search_volume_signal,trend_signal,ad_value_signal,revenue_potential,monetization_fit,confidence,human_review_required,search_intent_score,pain_score,result_clarity_score,serp_opportunity_score,risk_control_score,mvp_complexity_score,monetization_fit_score,maintenance_score,score_total,decision,next_step
2026-06-09,JSON Formatter and Validator,General Tool,"developers, students","paste messy JSON before debugging",json formatter,"online json formatter; json validator; format json online",Green,"low compliance risk","paste JSON, validate, format, copy result",ai_hypothesis,json formatter,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,AdSense,Low,no,5,4,5,3,5,5,3,4,34,candidate,run Trends and SERP task card
2026-06-09,Unix Timestamp Converter,General Tool,"developers, analysts","convert timestamps while debugging logs",unix timestamp converter,"epoch converter; timestamp to date; date to timestamp",Green,"low compliance risk","convert timestamp to date and date to timestamp",ai_hypothesis,unix timestamp converter,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,AdSense,Low,no,5,4,5,3,5,5,3,5,35,candidate,run Trends and SERP task card
2026-06-09,Image Aspect Ratio Calculator,General Tool,"creators, designers, marketers","resize images for social platforms",aspect ratio calculator,"image ratio calculator; resize aspect ratio; social media aspect ratio calculator",Green,"low compliance risk","calculate missing width or height and show common platform ratios",ai_hypothesis,aspect ratio calculator,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,AdSense,Low,no,5,4,5,3,5,5,3,4,34,candidate,run Trends and SERP task card
2026-06-09,Word Counter and Reading Time Tool,General Tool,"writers, students, marketers","check word count and reading time before publishing",word counter,"online word counter; reading time calculator; character counter",Green,"low compliance risk","count words, characters, sentences, reading time",ai_hypothesis,word counter,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,AdSense,Low,no,5,4,5,3,5,5,3,4,34,candidate,run Trends and SERP task card
2026-06-09,Compound Interest Calculator,High Value Yellow,"savers, finance learners","estimate long-term savings growth",compound interest calculator,"compound interest calculator monthly contribution; savings growth calculator; investment growth calculator",Yellow,"financial calculator; must avoid investment advice","calculate growth from principal, rate, contribution, time",ai_hypothesis,compound interest calculator,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,AdSense,Low,yes,5,5,5,2,3,4,5,4,33,candidate,run Trends and SERP with risk review
2026-06-09,Mortgage Payment Estimator,High Value Yellow,"home buyers, real estate researchers","estimate monthly mortgage payment",mortgage payment calculator,"mortgage payment estimator; mortgage calculator with taxes; monthly house payment calculator",Yellow,"financial estimator; must avoid lending advice","estimate principal, interest, taxes, insurance",ai_hypothesis,mortgage payment calculator,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,AdSense,Low,yes,5,5,5,2,3,3,5,4,32,candidate,run Trends and SERP with risk review
2026-06-09,Unit Converter for Creators,General Tool,"students, creators, makers","convert units for recipes, crafts, design, shipping",unit converter,"inches to cm; oz to grams; lbs to kg converter",Green,"low compliance risk","convert common length, weight, volume, temperature units",ai_hypothesis,unit converter,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,AdSense,Low,no,5,4,5,2,5,5,3,4,33,candidate,run Trends and SERP task card
2026-06-09,Color Contrast Checker,General Tool,"designers, developers, accessibility learners","check text and background contrast",contrast checker,"color contrast checker; wcag contrast checker; accessibility color checker",Green,"low compliance risk","input foreground/background colors and return contrast ratio",ai_hypothesis,color contrast checker,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,AdSense,Low,no,5,4,5,3,5,4,3,4,33,candidate,run Trends and SERP task card
2026-06-09,Etsy Fee Calculator,Cross-border Tool,"Etsy sellers","estimate fees before pricing a listing",etsy fee calculator,"etsy seller fees calculator; etsy profit calculator; etsy listing fee calculator",Yellow,"platform fee formulas can change; must cite update date","calculate estimated Etsy fees and net revenue",ai_hypothesis,etsy fee calculator,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,AdSense / Service Lead,Low,yes,5,5,5,3,4,4,5,3,34,candidate,run Trends and SERP with source review
2026-06-09,Amazon FBA Profit Estimator,Cross-border Tool,"Amazon sellers","estimate rough FBA profit before sourcing",amazon fba profit calculator,"fba profit calculator; amazon seller profit estimator; amazon fba fee calculator",Yellow,"platform fees change; avoid business advice claims","input price, cost, fees, shipping and estimate profit",ai_hypothesis,amazon fba profit calculator,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,AdSense / Service Lead,Low,yes,5,5,5,3,4,3,5,3,33,candidate,run Trends and SERP with source review
2026-06-09,Dimensional Weight Calculator,Cross-border Tool,"ecommerce sellers, shippers","estimate billed shipping weight",dimensional weight calculator,"shipping dimensional weight calculator; volumetric weight calculator; package weight calculator",Green,"formula-based logistics calculator; cite carrier formulas","calculate dimensional weight from package dimensions",ai_hypothesis,dimensional weight calculator,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,AdSense / Service Lead,Low,no,5,5,5,3,5,4,4,4,35,candidate,run Trends and SERP task card
2026-06-09,Etsy Listing Title Generator,Cross-border Tool,"Etsy sellers","write SEO-friendly listing titles",etsy title generator,"etsy listing title generator; etsy seo title generator; handmade listing title ideas",Green,"low compliance risk if framed as writing aid","generate title options from product attributes",ai_hypothesis,etsy title generator,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,Service Lead / Affiliate,Low,no,4,4,4,3,5,4,4,4,32,candidate,run Trends and SERP task card
2026-06-09,Amazon Bullet Point Generator,Cross-border Tool,"Amazon sellers","write product bullet points faster",amazon bullet point generator,"amazon listing bullet generator; amazon product description generator; amazon seo bullets",Green,"low compliance risk if avoiding policy guarantees","generate bullet points from product features",ai_hypothesis,amazon bullet point generator,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,Service Lead / Affiliate,Low,no,4,4,4,3,5,4,4,4,32,candidate,run Trends and SERP task card
2026-06-09,POD Size Chart Converter,Cross-border Tool,"POD sellers, apparel sellers","convert clothing size chart units",size chart converter,"shirt size chart converter; cm to inches size chart; pod size chart tool",Green,"low compliance risk","convert size tables between cm and inches",ai_hypothesis,size chart converter,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,AdSense / Service Lead,Low,no,4,4,5,3,5,4,4,4,33,candidate,run Trends and SERP task card
2026-06-09,Import Duty Estimate Helper,Cross-border Tool,"importers, ecommerce operators","roughly estimate import duty before shipping",import duty calculator,"import duty estimator; customs duty calculator; import tax calculator",Yellow,"tax/customs estimator; must avoid official tax advice","estimate duty range with strong disclaimer and source links",ai_hypothesis,import duty calculator,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,AdSense / Service Lead,Low,yes,5,5,4,2,2,3,5,2,28,observe,only validate if official sources are available
2026-06-09,Marketplace Review Response Generator,Cross-border Tool,"online sellers, support teams","reply to customer reviews politely",review response generator,"customer review response generator; negative review reply generator; ecommerce review response",Green,"low compliance risk","generate response drafts by review sentiment",ai_hypothesis,review response generator,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,Service Lead / Affiliate,Low,no,4,4,4,3,5,4,4,4,32,candidate,run Trends and SERP task card
2026-06-09,AI Email Reply Generator,AI Prompt Tool,"professionals, freelancers","draft email replies faster",email reply generator,"ai email reply generator; professional email response generator; polite email reply generator",Green,"low compliance risk if positioned as drafting aid","generate email reply drafts by tone and context",ai_hypothesis,email reply generator,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,AdSense / Affiliate,Low,no,5,4,4,3,5,4,4,4,33,candidate,run Trends and SERP task card
2026-06-09,LinkedIn Bio Generator,AI Prompt Tool,"job seekers, creators, founders","write a better LinkedIn about section",linkedin bio generator,"linkedin summary generator; linkedin about generator; professional bio generator",Green,"low compliance risk","generate profile summary options from role and goals",ai_hypothesis,linkedin bio generator,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,AdSense / Affiliate,Low,no,4,4,4,3,5,4,4,4,32,candidate,run Trends and SERP task card
2026-06-09,AI Prompt Cost Estimator,AI Prompt Tool,"AI builders, prompt engineers","estimate API prompt cost before running jobs",ai cost calculator,"openai cost calculator; token cost calculator; ai api cost estimator",Yellow,"pricing changes; must cite provider pricing date","estimate token usage cost from model and token counts",ai_hypothesis,ai cost calculator,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,Affiliate / Service Lead,Low,yes,4,4,5,3,4,4,4,3,31,candidate,run SERP and official pricing source review
2026-06-09,AI Tool Comparison Checklist Generator,AI Prompt Tool,"small business owners, creators","compare AI tools before choosing one",ai tool comparison checklist,"ai tool comparison template; compare ai tools; ai software checklist",Green,"low compliance risk if framed as checklist","generate comparison checklist by use case",ai_hypothesis,ai tool comparison checklist,US,en,2026-06-09,,,,Unknown,Unknown,Unknown,Unknown,Affiliate / Service Lead,Low,no,4,3,4,3,5,4,4,4,31,candidate,run Trends and SERP task card
